ZipCode__c,Name,EmissionFactorUpdateYear__c,SubRegion__c,State__c,City__c,Country__c,CO2__c,N2OLbGWh__c,CH4LbGWh__c,CO2eTotalLbMWh__c,CO2eTotalLbMWhMarketBased__c,OilMix__c,HydroMix__c,WindMix__c,GeothermalMix__c,BiomassMix__c,CoalMix__c,GasMix__c,NuclearMix__c,SolarMix__c,OtherFossilFuelMix__c,OtherUnknownPurchasedFuelMix__c,OilMixMarketBased__c,HydroMixMarketBased__c,WindMixMarketBased__c,GeothermalMixMarketBased__c,BiomassMixMarketBased__c,CoalMixMarketBased__c,GasMixMarketBased__c,NuclearMixMarketBased__c,SolarMixMarketBased__c,OtherFossilFuelMixMarketBased__c,OtherFuelMixMarketBased__c,DataSource__c
92056,92056 - eGRID2016,2018,CAMX,CA,Oceanside,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92057,92057 - eGRID2016,2018,CAMX,CA,Oceanside,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92058,92058 - eGRID2016,2018,CAMX,CA,Oceanside,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92059,92059 - eGRID2016,2018,CAMX,CA,Pala,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92060,92060 - eGRID2016,2018,CAMX,CA,Palomar Mountain,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92061,92061 - eGRID2016,2018,CAMX,CA,Pauma Valley,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92064,92064 - eGRID2016,2018,CAMX,CA,Poway,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92065,92065 - eGRID2016,2018,CAMX,CA,Ramona,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92066,92066 - eGRID2016,2018,CAMX,CA,Ranchita,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92067,92067 - eGRID2016,2018,CAMX,CA,Rancho Santa Fe,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92068,92068 - eGRID2016,2018,CAMX,CA,San Luis Rey,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92069,92069 - eGRID2016,2018,CAMX,CA,San Marcos,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92070,92070 - eGRID2016,2018,CAMX,CA,Santa Ysabel,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92071,92071 - eGRID2016,2018,CAMX,CA,Santee,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
